group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration,abs_number
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,6,0.132707483,1.70781782,-3.133053035,3.120400768,-1.086558094,15.75200705,-187.4503513,187.2729883,63.62060362,40.0396633,1.316687135,188.3361601,0.018977333,0.52962963,36
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,7,0.47999703,1.861343209,-3.127420179,3.126595177,-0.275878601,13.69823161,-4.417505863,187.6959095,42.54184577,25.2660399,2.222070368,141.0813588,0.010542963,0.63,20
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,8,0.375690214,1.498805534,-3.099739143,3.129496747,-0.218490646,37.62100833,-123.4104276,171.5778853,64.73375832,37.93714848,5.414738615,182.431772,0.022140221,0.080952381,42
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,9,0.05331244,1.465747022,-1.978369635,2.962782361,0.071659256,0.527379724,-2.02509445,2.795906172,27.77847244,28.69815943,0.792613557,189.1332349,0.007380074,1.388095238,14
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,10,0.163412125,1.613169105,-3.052453733,2.937788112,-0.282918208,23.45064333,-155.3181967,187.4510999,45.99988911,32.36244399,1.043214352,197.465034,0.020558777,0.252991453,39
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,11,-0.753976313,1.342845249,-3.13111517,3.132559264,0.240292824,8.622599341,-5.936979199,187.5834569,58.18370287,47.62905949,0.586740577,221.7377946,0.01686874,1.991666667,32
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,12,-0.647606913,1.638601578,-2.886977305,3.012803503,20.12842207,51.41426421,-8.619243087,184.6236725,54.27554706,36.47625559,3.243107506,151.6532816,0.007907222,0.062222222,15
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,13,0.680497685,1.516010004,-2.983223104,2.799317725,0.242477468,9.701494457,-169.9237525,141.7988736,54.95495822,39.71766587,0,198.806228,0.016341592,0.623655914,31
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,14,0.16122796,1.139000417,-3.137166894,3.132505955,-0.295979649,9.564859605,-188.3978334,4.148086764,91.6831645,55.23712031,1.763289943,254.7987576,0.015287296,0.897701149,29
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,15,0.83986961,1.253656792,-3.132116245,3.12242787,0.335978266,6.529764092,-187.6692582,187.0101283,47.48188825,37.57801808,0.608215053,208.821509,0.021085925,1.399166667,40
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,16,-1.060679668,1.670065744,-3.137957411,3.137076033,0.39867705,13.59579796,-187.8284993,187.6306916,85.6238218,62.35981872,0.971220591,321.0809357,0.014760148,1.804761905,28
